Family	Subclass	Ambler_class	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
blaGES	AVIBACTAM/CEPHALOSPORIN	bla-A	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
blaLAP	BETA-LACTAM	bla-A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
blaLCR	BETA-LACTAM	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaLEN	BETA-LACTAM	bla-A	16	17	18	20	21	28	29	31	40	40	40	40	40	40	40	40
blaLHK	BETA-LACTAM	bla-C	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
blaFONA	BETA-LACTAM	bla-A	6	6	6	6	6	6	6	6	6	7	7	7	13	13	13	13
blaFTU	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaGIL	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaHER	BETA-LACTAM	bla-A	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
blaLUS	BETA-LACTAM	bla-A	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaOXA	BETA-LACTAM	bla-D	33	43	48	62	66	91	98	109	195	211	226	272	322	340	401	430
blaOKP	BETA-LACTAM	bla-A	32	32	32	34	34	35	35	38	42	43	43	43	43	43	43	43
blaOKP-A	BETA-LACTAM	bla-A	16	16	16	17	17	17	17	17	17	17	17	17	17	17	17	17
blaOKP-B	BETA-LACTAM	bla-A	16	16	16	17	17	18	18	21	25	26	26	26	26	26	26	26
blaOKP-C	BETA-LACTAM	bla-A	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaOKP-D	BETA-LACTAM	bla-A	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaORN	BETA-LACTAM	bla-A	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
blaACT	BETA-LACTAM	bla-C	0	0	0	0	0	2	4	5	9	12	14	16	20	24	33	33
blaAER	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaARL	BETA-LACTAM	bla-A	0	0	0	0	0	0	0	6	6	6	6	6	6	6	6	6
blaAST	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBAT	BETA-LACTAM	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBCL	BETA-LACTAM	bla-A	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaBRO	BETA-LACTAM	bla-A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
blaBSU	BETA-LACTAM	bla-D	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBUT	BETA-LACTAM	bla-C	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaCARB	BETA-LACTAM	bla-A	1	1	1	2	12	30	30	30	30	30	30	32	32	32	32	32
blaCBP	BETA-LACTAM	bla-A	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaCKO	BETA-LACTAM	bla-A	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
blaCMH	BETA-LACTAM	bla-C	0	0	0	0	0	2	4	5	9	12	14	16	20	24	33	33
blaCSP	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaCTX-M	BETA-LACTAM	bla-A	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2
blaFAR	BETA-LACTAM	bla-A	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaNPS	BETA-LACTAM	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
