BioSample	Isolate	Organism group	amikacin	amoxicillin	amoxicillin-clavulanic acid	amphotericin B	ampicillin	ampicillin-sulbactam	anidulafungin	apramycin	avilamycin	azithromycin	aztreonam	benzylpenicillin	capreomycin	carbenicillin	caspofungin	cefaclor	cefalexin	cefalotin	cefamandole	cefazolin	cefepime	cefiderocol	cefixime	cefmetazole	cefotaxime	cefotaxime-clavulanic acid	cefotetan	cefovecin	cefoxitin	cefpodoxime	ceftaroline	ceftazidime	ceftazidime-avibactam	ceftazidime-clavulanic acid	ceftiofur	ceftolozane-tazobactam	ceftriaxone	cefuroxime	cephalexin	cephalothin	chloramphenicol	chlortetracycline	ciprofloxacin	clarithromycin	clindamycin	colistin	cycloserine	danofloxacin	daptomycin	delafloxacin	dicloxacillin	doripenem	doxycycline	enrofloxacin	ertapenem	erythromycin	ethambutol	ethionamide	fidaxomicin	florfenicol	fluconazole	flucytosine	fosfomycin	fusidic acid	gentamicin	imipenem	imipenem-relebactam	isavuconazole	isoniazid	itraconazole	kanamycin	levofloxacin	linezolid	meropenem	meropenem-vaborbactam	metronidazole	micafungin	minocycline	moxifloxacin	mupirocin	nalidixic acid	neomycin	netilmicin	nitrofurantoin	norfloxacin	ofloxacin	oxacillin	oxytetracycline	pefloxacin	penicillin	piperacillin	piperacillin-tazobactam	polymyxin B	posaconazole	pyrazinamide	quinupristin	quinupristin-dalfopristin	rifampin	spectinomycin	streptomycin	sulfamethoxazole	sulfisoxazole	synercid	teicoplanin	telithromycin	tetracycline	ticarcillin	tigecycline	tobramycin	trimethoprim	trimethoprim-sulfamethoxazole	vancomycin	voriconazole	zoliflodacin
SAMN01163409	PDT001544156.1	Enterobacter cloacae	susceptible	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	resistant	NA	NA	NA	NA	resistant	NA	NA	resistant	resistant	NA	susceptible	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN02053837	PDT000019537.2	Salmonella enterica	NA	NA	susceptible	NA	susceptible	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	susceptible	NA	NA	NA	susceptible	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN02138620	PDT000022762.1	Klebsiella pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN02138645	PDT000022752.1	Klebsiella pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN02138661	PDT000020609.1	Klebsiella pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN02138666	PDT000022749.2	Klebsiella pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN02141705	PDT000015910.2	Klebsiella pneumoniae	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	susceptible	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	resistant	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN02141966	PDT000016131.2	Klebsiella pneumoniae	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	susceptible	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	intermediate	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN02141967	PDT000016120.2	Klebsiella pneumoniae	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	resistant	NA	NA	NA	NA	NA	resistant	susceptible	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	resistant	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN02141968	PDT000016118.2	Klebsiella pneumoniae	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	intermediate	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	resistant	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
