Gene family,Product name,Class,Subclass
16S,16S ribosomal RNA,TETRACYCLINE,TETRACYCLINE
16S,16S ribosomal RNA,AMINOGLYCOSIDE,GENTAMICIN C/NEOMYCIN/PAROMOMYCIN
16S,16S ribosomal RNA,EDEINE,EDEINE
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,STREPTOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,TETRACYCLINE,TETRACYCLINE
16S,16S ribosomal RNA,TETRACYCLINE,TETRACYCLINE
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,STREPTOMYCIN
16S,16S ribosomal RNA,TETRACYCLINE,TETRACYCLINE
16S,16S ribosomal RNA,TETRACYCLINE,TETRACYCLINE
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,STREPTOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,G418/TOBRAMYCIN
pbp2,Neisseria gonorrhoeae penicillin-binding protein PBP2,BETA-LACTAM,BETA-LACTAM
23S,23S ribosomal RNA,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/TELITHROMYCIN
23S,23S ribosomal RNA,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/TELITHROMYCIN
23S,23S ribosomal RNA,MACROLIDE,AZITHROMYCIN
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE/STREPTOGRAMIN,MACROLIDE/STREPTOGRAMIN
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
